ID,処方名,よみ,効能効果,生薬名,分量
s001,安中散,あんちゅうさん,体力中等度以下で、腹部に力がなく、神経過敏で、慢性に経過する胃腸が弱い人の、胃痛、腹痛、嘔吐、食欲不振、胃部不快感、神経性胃炎、慢性胃炎、胃腸虚弱,ケイヒ,3-5
s001,安中散,あんちゅうさん,体力中等度以下で、腹部に力がなく、神経過敏で、慢性に経過する胃腸が弱い人の、胃痛、腹痛、嘔吐、食欲不振、胃部不快感、神経性胃炎、慢性胃炎、胃腸虚弱,エンゴサク,3-4
s001,安中散,あんちゅうさん,体力中等度以下で、腹部に力がなく、神経過敏で、慢性に経過する胃腸が弱い人の、胃痛、腹痛、嘔吐、食欲不振、胃部不快感、神経性胃炎、慢性胃炎、胃腸虚弱,ボレイ,3-4
s001,安中散,あんちゅうさん,体力中等度以下で、腹部に力がなく、神経過敏で、慢性に経過する胃腸が弱い人の、胃痛、腹痛、嘔吐、食欲不振、胃部不快感、神経性胃炎、慢性胃炎、胃腸虚弱,ウイキョウ,1.5-2
s001,安中散,あんちゅうさん,体力中等度以下で、腹部に力がなく、神経過敏で、慢性に経過する胃腸が弱い人の、胃痛、腹痛、嘔吐、食欲不振、胃部不快感、神経性胃炎、慢性胃炎、胃腸虚弱,シュクシャ,1-2
s001,安中散,あんちゅうさん,体力中等度以下で、腹部に力がなく、神経過敏で、慢性に経過する胃腸が弱い人の、胃痛、腹痛、嘔吐、食欲不振、胃部不快感、神経性胃炎、慢性胃炎、胃腸虚弱,カンゾウ,1-2
s001,安中散,あんちゅうさん,体力中等度以下で、腹部に力がなく、神経過敏で、慢性に経過する胃腸が弱い人の、胃痛、腹痛、嘔吐、食欲不振、胃部不快感、神経性胃炎、慢性胃炎、胃腸虚弱,リョウキョウ,0.5-1
s002,安中散加茯苓,あんちゅうさんかぶくりょう,体力中等度以下で、胃腸が弱く神経過敏な人の、胃痛、腹痛、嘔吐、食欲不振、慢性胃炎、胃腸虚弱（安中散に茯苓を加えたもの）,ケイヒ,3-5
s002,安中散加茯苓,あんちゅうさんかぶくりょう,体力中等度以下で、胃腸が弱く神経過敏な人の、胃痛、腹痛、嘔吐、食欲不振、慢性胃炎、胃腸虚弱（安中散に茯苓を加えたもの）,エンゴサク,3-4
s002,安中散加茯苓,あんちゅうさんかぶくりょう,体力中等度以下で、胃腸が弱く神経過敏な人の、胃痛、腹痛、嘔吐、食欲不振、慢性胃炎、胃腸虚弱（安中散に茯苓を加えたもの）,ボレイ,3-4
s002,安中散加茯苓,あんちゅうさんかぶくりょう,体力中等度以下で、胃腸が弱く神経過敏な人の、胃痛、腹痛、嘔吐、食欲不振、慢性胃炎、胃腸虚弱（安中散に茯苓を加えたもの）,ウイキョウ,1.5-2
s002,安中散加茯苓,あんちゅうさんかぶくりょう,体力中等度以下で、胃腸が弱く神経過敏な人の、胃痛、腹痛、嘔吐、食欲不振、慢性胃炎、胃腸虚弱（安中散に茯苓を加えたもの）,シュクシャ,1-2
s002,安中散加茯苓,あんちゅうさんかぶくりょう,体力中等度以下で、胃腸が弱く神経過敏な人の、胃痛、腹痛、嘔吐、食欲不振、慢性胃炎、胃腸虚弱（安中散に茯苓を加えたもの）,カンゾウ,1-2
s002,安中散加茯苓,あんちゅうさんかぶくりょう,体力中等度以下で、胃腸が弱く神経過敏な人の、胃痛、腹痛、嘔吐、食欲不振、慢性胃炎、胃腸虚弱（安中散に茯苓を加えたもの）,リョウキョウ,0.5-1
s002,安中散加茯苓,あんちゅうさんかぶくりょう,体力中等度以下で、胃腸が弱く神経過敏な人の、胃痛、腹痛、嘔吐、食欲不振、慢性胃炎、胃腸虚弱（安中散に茯苓を加えたもの）,ブクリョウ,5
s003,胃風湯,いふうとう,体力中等度以下で、慢性に経過する下痢・腹痛・血便のある人,トウキ,2.5-3
s003,胃風湯,いふうとう,体力中等度以下で、慢性に経過する下痢・腹痛・血便のある人,シャクヤク,3
s003,胃風湯,いふうとう,体力中等度以下で、慢性に経過する下痢・腹痛・血便のある人,センキュウ,2.5-3
s003,胃風湯,いふうとう,体力中等度以下で、慢性に経過する下痢・腹痛・血便のある人,ニンジン,3
